07:42:13.013 [main] INFO  org.testng.internal.Utils - [TestNG] Time taken by org.testng.internal.ExitCodeListener@2eaef76d: 0 ms
07:44:41.041 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
07:44:41.041 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
07:44:41.041 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
07:44:41.041 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
07:44:41.041 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
07:44:41.041 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
07:44:41.041 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
07:44:41.041 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
07:44:41.041 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 1 ms.
07:44:41.041 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
07:44:41.041 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
07:44:41.041 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
07:44:41.041 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
07:44:41.041 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
07:44:41.041 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  C:\Users\Ravi Yadav\AppData\Local\Temp\testng-eclipse--2096891467\testng-customsuite.xml

07:44:41.041 [main] INFO  org.testng.internal.Utils - [Utils] DynamicGraphHelper.createDynamicGraph() took 4 ms.
07:44:45.045 [main] INFO  testCases.TC001_AccountRegistrationTest - ***TC001_AccountRegistrationTest Started.... *** 
07:44:45.045 [main] INFO  testCases.TC001_AccountRegistrationTest - clicked on Myaccount link
07:44:46.046 [main] INFO  testCases.TC001_AccountRegistrationTest - clicked on Register link
07:44:46.046 [main] INFO  testCases.TC001_AccountRegistrationTest - Providing Customer Details
07:44:47.047 [main] INFO  testCases.TC001_AccountRegistrationTest - validating Expected massage
07:44:47.047 [main] ERROR testCases.TC001_AccountRegistrationTest - Test Failed
07:44:47.047 [main] DEBUG testCases.TC001_AccountRegistrationTest - Debug logs
07:44:47.047 [main] INFO  org.testng.internal.Utils - [TestNG] Time taken by org.testng.reporters.jq.Main@1de9d54: 91 ms
07:44:47.047 [main] INFO  org.testng.internal.Utils - [TestNG] Time taken by org.testng.reporters.FailedReporter@31f20c9f: 14 ms
07:44:47.047 [main] INFO  org.testng.internal.Utils - [TestNG] Time taken by org.testng.reporters.XMLReporter@58a2b4c: 12 ms
07:44:47.047 [main] INFO  org.testng.internal.Utils - [TestNG] Time taken by org.testng.reporters.EmailableReporter2@446c3920: 10 ms
07:44:47.047 [main] INFO  org.testng.internal.Utils - [TestNG] Time taken by org.testng.reporters.JUnitReportReporter@4f67e3df: 9 ms
07:44:47.047 [main] INFO  org.testng.internal.Utils - [TestNG] Time taken by org.testng.internal.ExitCodeListener@56681eaf: 0 ms
